label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
PFN2,0.133357703,0.490668345,0.874197528,6.179757689,0.689247565,-5.551110994,0.133357703,0.309211959,0.058390426
PFN3,-0.049462473,0.765899797,0.958443684,5.730211511,-0.297742811,-5.864338755,0.049462473,0.115828046,0.0184334
PFN4,0.215201821,0.194140993,0.718632807,5.729849174,1.298430657,-5.125696739,0.215201821,0.711882752,0.143492961
PGA3,0.103990862,0.513572038,0.884327732,5.69580771,0.653287059,-5.746098745,0.103990862,0.28939863,0.053386755
PGAM2,0.196586572,0.24988191,0.75957377,5.765611653,1.150639837,-5.268231793,0.196586572,0.602265183,0.119430041
PGAM4,-0.242821801,0.127931865,0.658677578,6.517455465,-1.522314996,-4.862679953,0.242821801,0.893021268,0.18132712
PGAM5,0.272319995,0.11460861,0.634571365,5.78382087,1.577820224,-4.722558126,0.272319995,0.940782755,0.197519529
PGAP1,0.074146555,0.61031413,0.915288486,5.617846716,0.509625967,-5.907021564,0.074146555,0.214446575,0.038442001
PGAP2,0.027428603,0.889718071,0.978914971,6.057738729,0.138661147,-5.737193118,0.027428603,0.050747588,0.009255029
PGAP3,-0.385893725,0.0405975,0.487451238,6.045478709,-2.047631659,-3.885513974,0.385893725,1.391500705,0.312068822
PGAP4,-0.017138195,0.929431702,0.989027984,5.926269292,-0.088559989,-5.762071775,0.017138195,0.031782518,0.00479142
PGAP6,0.01190834,0.949746367,0.992112919,6.255047454,0.063025373,-5.785487155,0.01190834,0.022392359,0.003438895
PGBD1,0.063110169,0.737883427,0.951958762,5.874713905,0.334658048,-5.738185865,0.063110169,0.132012244,0.021381865
PGBD2,0.065954877,0.735142028,0.950519048,6.158232682,0.338293996,-5.7072687,0.065954877,0.133628748,0.022039175
PGBD3,0.34538447,0.056585273,0.52527281,5.854121623,1.906512546,-4.163347173,0.34538447,1.247296588,0.279615079
PGBD4,0.047678096,0.780134723,0.96172153,5.754572792,0.279143874,-5.843774623,0.047678096,0.107830392,0.016950661
PGBD5,-0.130128439,0.500206321,0.878784071,5.93126364,-0.674166466,-5.562468856,0.130128439,0.300850824,0.056117824
PGC,-0.016682715,0.929911095,0.989085913,5.879989584,-0.087956814,-5.780309114,0.016682715,0.031558571,0.004765984
PGD,-0.156899083,0.347162719,0.827042313,6.456440782,-0.940109293,-5.491679672,0.156899083,0.459466919,0.082472271
PGF,0.294967915,0.090792882,0.590038772,5.80959672,1.691238744,-4.544176344,0.294967915,1.041948196,0.229119449
PGGHG,-0.325812117,0.005125848,0.23796811,6.890102932,-2.799049832,-2.470238462,0.325812117,2.290234266,0.623481238
PGGT1B,-0.330660146,0.085460183,0.583734839,6.064762821,-1.719856516,-4.433222627,0.330660146,1.068236181,0.233784386
PGK1,0.082380232,0.60393538,0.915288486,6.518946574,0.518750464,-5.821807047,0.082380232,0.219009527,0.038442001
PGK2,0.216732253,0.157180065,0.693679602,5.635408393,1.414625262,-5.042930462,0.216732253,0.803602535,0.158841076
PGLS,-0.06832936,0.693391113,0.94086337,6.40352332,-0.394257872,-5.794689688,0.06832936,0.159021729,0.026473439
PGLYRP1,0.13667053,0.373388208,0.838421843,5.653228225,0.890146809,-5.607609453,0.13667053,0.427839402,0.076537416
PGLYRP2,-0.001037927,0.994911933,0.99849383,5.714638916,-0.006376998,-5.924416181,0.001037927,0.00221536,0.000654615
PGLYRP3,0.132355039,0.39298495,0.841385121,5.665404297,0.854218645,-5.628834997,0.132355039,0.405624081,0.075005173
PGLYRP4,-0.043530958,0.816970766,0.964417917,5.865469224,-0.231443193,-5.767099794,0.043530958,0.087793484,0.01573473
PGM1,-0.082537159,0.661744179,0.930249924,5.872240367,-0.437507038,-5.701782126,0.082537159,0.17930987,0.031400357
PGM2,-0.192097341,0.322168662,0.815883946,5.982076741,-0.990013789,-5.320540859,0.192097341,0.491916707,0.088371613
PGM2L1,-0.149166223,0.445356577,0.853247049,6.130692381,-0.76318074,-5.493953728,0.149166223,0.351292129,0.068925205
