label,logFC,P.Value,adj.P.Val,AveExpr,t,B,absLogFC,log10Pvalue,log10Padj
A1BG,-0.008390005,0.966133682,0.993219603,6.021282338,-0.042457945,-5.745956425,0.008390005,0.014962777,0.002954717
A1CF,-0.045986415,0.791084035,0.963639105,5.768937481,-0.264903577,-5.832460269,0.045986415,0.10177738,0.016085584
A2M,0.108542062,0.505573043,0.882319914,5.715281364,0.665747948,-5.716816942,0.108542062,0.296216091,0.054373919
A2ML1,0.082226238,0.575699973,0.905549972,5.629576833,0.55967769,-5.872756935,0.082226238,0.239803791,0.043087578
A3GALT2,0.228195341,0.155733499,0.693679602,5.689774564,1.419573688,-4.997377675,0.228195341,0.807617958,0.158841076
A4GALT,-0.079995425,0.637252036,0.92226019,5.747517784,-0.47154515,-5.783256259,0.079995425,0.195688768,0.035146538
A4GNT,0.238885085,0.137992474,0.67313368,5.691433478,1.48331482,-4.909723447,0.238885085,0.860144599,0.171898679
AAAS,-0.079892158,0.68412005,0.937302683,6.129547118,-0.406848063,-5.677846447,0.079892158,0.164867681,0.02812014
AACS,0.196953584,0.310541841,0.806948852,5.992557241,1.014088496,-5.297985502,0.196953584,0.507879877,0.093153992
AADAC,0.214918146,0.234317587,0.753893122,5.839856171,1.189314135,-5.180772057,0.214918146,0.630195114,0.122690219
AADACL2,0.190410568,0.184923943,0.708097475,5.557447399,1.325750599,-5.211581621,0.190410568,0.733006856,0.149906954
AADACL3,-0.145536197,0.455675213,0.858782454,5.97155663,-0.745988646,-5.507235461,0.145536197,0.341344595,0.066116837
AADACL4,0.055449641,0.734292124,0.950077866,5.717631423,0.33942214,-5.86745153,0.055449641,0.13413113,0.0222408
AADAT,0.075160379,0.673640152,0.933559184,5.796413935,0.42115806,-5.758056562,0.075160379,0.171572035,0.029858144
AAGAB,-0.040151183,0.832137921,0.967314368,6.248477323,-0.211960706,-5.764592224,0.040151183,0.079804686,0.014432361
AAK1,-0.182647057,0.33808236,0.822940092,5.910011807,-0.957963588,-5.363221247,0.182647057,0.470977489,0.084631779
AAMDC,0.127491145,0.516311702,0.884327732,6.070672093,0.649042503,-5.562346128,0.127491145,0.287088032,0.053386755
AAMP,-0.298712708,0.062310558,0.536301515,6.5143079,-1.864090545,-4.319734778,0.298712708,1.205438361,0.270590976
AANAT,0.066337934,0.675674023,0.934436744,5.692815202,0.418374207,-5.867110299,0.066337934,0.170262778,0.029450093
AAR2,0.080176346,0.68451468,0.937414592,6.046327999,0.40631085,-5.673726556,0.080176346,0.164617234,0.028068291
AARD,0.278098282,0.08266234,0.579314146,5.670789902,1.735452483,-4.535502751,0.278098282,1.082692303,0.237085866
AARS1,-0.244736025,0.206575673,0.728600715,6.079594464,-1.263041971,-5.043763598,0.244736025,0.684920823,0.137510407
AARS2,0.280185402,0.136216642,0.670637809,5.93158048,1.490035305,-4.782958519,0.280185402,0.865769831,0.173511966
AARSD1,-0.307071934,0.107845806,0.619787268,5.973504313,-1.607959194,-4.606310095,0.307071934,0.967196738,0.20775735
AASDH,0.056184485,0.754065326,0.957617332,5.801479939,0.313283906,-5.789912985,0.056184485,0.122591029,0.018808002
AASDHPPT,-0.064955214,0.741660322,0.953318697,6.105214928,-0.329655935,-5.70042448,0.064955214,0.129794954,0.020761889
AASS,0.110127617,0.564309813,0.903260132,5.90119846,0.576452869,-5.626745007,0.110127617,0.248482398,0.044187158
AATF,-0.136996562,0.485379012,0.872153854,6.019375494,-0.697678713,-5.533135606,0.136996562,0.313919006,0.059406896
AATK,0.059902278,0.716511352,0.945323559,5.726361086,0.363125762,-5.850755333,0.059902278,0.144776925,0.024419519
ABAT,0.114574431,0.517472557,0.884327732,5.793702779,0.647247518,-5.654501079,0.114574431,0.286112677,0.053386755
ABCA1,0.186594763,0.334786152,0.821477522,5.979658023,0.964520764,-5.345492705,0.186594763,0.475232514,0.085404316
ABCA10,-0.091179604,0.557444966,0.900328574,5.68026878,-0.586641869,-5.806436212,0.091179604,0.253798002,0.045598966
ABCA12,-0.419273404,0.017486218,0.37264417,5.857604238,-2.376342673,-3.25593417,0.419273404,1.757304108,0.428705669
ABCA13,-0.093437107,0.613624302,0.915374534,5.843097024,-0.504907642,-5.690043034,0.093437107,0.212097449,0.038401174
ABCA2,0.034604943,0.861107793,0.974534966,6.057321765,0.174964404,-5.732195137,0.034604943,0.06494248,0.011202574
ABCA3,-0.120705343,0.531598186,0.888563812,6.195647585,-0.625569389,-5.5913343,0.120705343,0.274416509,0.051311378
ABCA4,-0.085994872,0.658955538,0.930216653,5.952037611,-0.441356365,-5.671560207,0.085994872,0.181143888,0.03141589
ABCA5,-0.054911315,0.764581073,0.958443684,5.828613652,-0.299470942,-5.773670463,0.054911315,0.116576457,0.0184334
ABCA6,0.135172381,0.386435851,0.839557416,5.673358242,0.86610107,-5.612812435,0.135172381,0.41292259,0.075949598
ABCA7,0.323761828,0.061624628,0.534368658,5.796109421,1.868998206,-4.257463645,0.323761828,1.21024569,0.272159023
ABCA8,0.201514159,0.26191557,0.769293693,5.829879129,1.121878442,-5.25700947,0.201514159,0.581838683,0.113907828
ABCA9,0.364577556,0.036182366,0.466595659,5.812343318,2.094887185,-3.842169405,0.364577556,1.44150304,0.331059306
ABCB1,0.226371783,0.181383582,0.708097475,5.753561419,1.336512081,-5.061721318,0.226371783,0.741402025,0.149906954
ABCB10,-0.075355829,0.696775247,0.94220553,6.1923215,-0.389677815,-5.697646579,0.075355829,0.156907286,0.025854351
ABCB11,0.036490801,0.831651857,0.967017794,5.759694569,0.212583779,-5.854305773,0.036490801,0.080058439,0.014565534
ABCB4,0.179422918,0.263741345,0.771876138,5.695555199,1.117595229,-5.35533395,0.179422918,0.578821784,0.112452385
ABCB5,0.072100912,0.62042059,0.915374534,5.618858089,0.495255176,-5.913248981,0.072100912,0.207313798,0.038401174
ABCB6,-0.097247717,0.616687977,0.915374534,5.943051028,-0.500550671,-5.648937288,0.097247717,0.209934519,0.038401174
ABCB7,-0.02579575,0.887432375,0.978645942,5.820020195,-0.141554103,-5.811083548,0.02579575,0.051864732,0.0093744
ABCB8,0.030188104,0.878622249,0.977026254,6.035329198,0.152716201,-5.735966904,0.030188104,0.056197803,0.010093766
ABCB9,0.057710515,0.739617563,0.952612732,6.400635115,0.332360329,-5.813686635,0.057710515,0.130992785,0.021083618
ABCC1,-0.124830982,0.525707524,0.88721564,6.015927702,-0.634573299,-5.56945221,0.124830982,0.279255807,0.051970811
ABCC10,-0.094585138,0.628598703,0.919224709,5.970027007,-0.483700926,-5.650710141,0.094585138,0.201626519,0.03657831
ABCC11,-0.845246198,6.47E-08,6.54E-05,6.084593428,-5.405600259,7.698801032,0.845246198,7.189293413,4.18409861
ABCC12,-0.272050856,0.137698138,0.673066771,5.871435257,-1.484424078,-4.809337222,0.272050856,0.861071931,0.17194185
ABCC2,0.035697458,0.808655854,0.963639105,5.633419311,0.242160774,-5.989536709,0.035697458,0.092236265,0.016085584
ABCC3,-0.059577574,0.76192967,0.958443684,5.991772882,-0.302948207,-5.709756053,0.059577574,0.118085114,0.0184334
ABCC4,0.076167879,0.630965716,0.920451978,5.692815202,0.480368832,-5.841110241,0.076167879,0.199994238,0.035998865
ABCC5,-0.192976807,0.316471418,0.811928064,6.182373148,-1.001738058,-5.315879063,0.192976807,0.499665506,0.090482447
ABCC6,-0.021784502,0.912008813,0.984072858,6.111280532,-0.110505241,-5.743422221,0.021784502,0.040000965,0.006972746
ABCC8,-0.113206849,0.55206478,0.898955056,5.89512795,-0.594670028,-5.620179289,0.113206849,0.258009958,0.046262021
ABCC9,0.174565142,0.33953559,0.822940092,5.838998254,0.955085713,-5.400994094,0.174565142,0.469114697,0.084631779
ABCD1,0.054479931,0.711459143,0.944778241,5.632415885,0.369897688,-5.953534618,0.054479931,0.147850035,0.024670118
ABCD2,0.360571604,0.035833065,0.464428479,5.784552077,2.098831852,-3.84235784,0.360571604,1.445716042,0.333081157
ABCD3,-0.143311626,0.464150526,0.86341133,5.989196132,-0.732031064,-5.513565231,0.143311626,0.333341153,0.063782256
ABCD4,-0.123601231,0.519493727,0.884545933,5.920089956,-0.644127227,-5.585482642,0.123601231,0.284419692,0.05327961
ABCE1,-0.177171042,0.361380479,0.836376649,5.97021532,-0.91274,-5.38663213,0.177171042,0.442035311,0.077598101
ABCF1,-0.312159603,0.098675727,0.599924011,5.957995009,-1.651316101,-4.549177075,0.312159603,1.005789663,0.221903756
ABCF2,-0.277176769,0.15020443,0.69261177,6.015986195,-1.438815673,-4.833427419,0.277176769,0.823317258,0.159510132
ABCF3,0.216263358,0.245993927,0.75674444,5.894208155,1.160138445,-5.187109876,0.216263358,0.609075615,0.121050761
ABCG1,0.550639018,0.001556644,0.147610897,5.99179475,3.163957545,-1.254002352,0.550639018,2.807810601,0.830881582
ABCG2,0.292912236,0.05463321,0.518475571,5.595821416,1.921793948,-4.253542266,0.292912236,1.262543282,0.285271701
ABCG4,0.270130702,0.099108568,0.600246923,5.708236845,1.649198935,-4.655002731,0.270130702,1.003888799,0.221670058
ABCG5,0.326999706,0.041147438,0.488253299,5.663745382,2.042055403,-3.996278185,0.326999706,1.385657204,0.311354814
ABCG8,-0.004473602,0.976331201,0.994163005,5.657433693,-0.029668832,-5.995463405,0.004473602,0.010402832,0.002542402
ABHD1,0.17999763,0.238052039,0.754478781,5.631958894,1.179873487,-5.332059177,0.17999763,0.623328095,0.12235297
ABHD10,-0.166058429,0.310662521,0.806948852,5.719100862,-1.013835594,-5.441055981,0.166058429,0.507711137,0.093153992
ABHD11,0.318311382,0.042625949,0.493251434,6.542598126,2.02737055,-4.037479224,0.318311382,1.370325944,0.306931644
ABHD12,-0.061324774,0.752722893,0.957449447,6.172318217,-0.315051515,-5.715558017,0.061324774,0.123364876,0.018884147
ABHD12B,-0.065780604,0.703318316,0.943601479,5.764011956,-0.380845516,-5.802579232,0.065780604,0.152848072,0.025211387
ABHD13,-0.138179102,0.480503429,0.87031727,6.00296816,-0.705494506,-5.530375847,0.138179102,0.318303508,0.060322399
ABHD14A,0.134360031,0.398571217,0.843811852,5.6872311,0.84417766,-5.612889833,0.134360031,0.399494067,0.073754379
ABHD14B,-0.177286888,0.340306295,0.822940092,6.274714451,-0.953562666,-5.388004867,0.177286888,0.468130017,0.084631779
ABHD15,-0.085349613,0.623329073,0.916181403,5.770150442,-0.491138496,-5.752739805,0.085349613,0.205282617,0.038018528
ABHD16A,-0.150155545,0.330180975,0.821034493,6.556831314,-0.973751954,-5.530775061,0.150155545,0.481247954,0.085638597
ABHD16B,0.066643624,0.675774326,0.934436744,5.696819083,0.418237001,-5.862622361,0.066643624,0.170198312,0.029450093
ABHD17A,-0.347840725,0.065208776,0.543464665,6.191416945,-1.84383498,-4.24504166,0.347840725,1.18569395,0.264828688
ABHD17B,0.078881448,0.645734949,0.925775513,5.759991947,0.459696038,-5.777974032,0.078881448,0.189945708,0.033494311
ABHD17C,-0.109221494,0.53653733,0.8913652,5.786405245,-0.618058804,-5.672970656,0.109221494,0.270400056,0.049944325
ABHD18,0.329567027,0.082513588,0.579314146,6.123223168,1.73629357,-4.415844756,0.329567027,1.083474525,0.237085866
ABHD2,0.034272356,0.850964637,0.972253511,6.323036135,0.187888022,-5.803230699,0.034272356,0.070088487,0.01222048
ABHD3,0.273463057,0.13723635,0.672977832,5.885942798,1.486168104,-4.804025505,0.273463057,0.862530841,0.171999241
ABHD4,-0.100674601,0.609085659,0.915288486,6.01502347,-0.511379917,-5.632364476,0.100674601,0.215321626,0.038442001
ABHD5,0.19324473,0.281894765,0.781217514,5.825734505,1.076075761,-5.30329684,0.19324473,0.549912989,0.107228029
ABHD6,0.353545446,0.035693648,0.464241132,5.748237774,2.100415453,-3.851842343,0.353545446,1.447409062,0.333256384
ABHD8,0.072100912,0.62042059,0.915374534,5.618858089,0.495255176,-5.913248981,0.072100912,0.207313798,0.038401174
ABI1,-0.075537225,0.665811886,0.932116678,6.390208338,-0.431903725,-5.772118901,0.075537225,0.176648456,0.030529721
ABI2,-0.081437468,0.673104406,0.933093668,6.198287721,-0.421891903,-5.687443414,0.081437468,0.171917567,0.030074758
ABI3,0.183064104,0.341663423,0.823086141,5.957807749,0.950886112,-5.361313712,0.183064104,0.466401512,0.084554711
ABI3BP,0.182708839,0.268894821,0.773587507,5.726742009,1.105614532,-5.343151833,0.182708839,0.570417562,0.111490553
ABITRAM,-0.240241294,0.188844082,0.7119582,6.298410795,-1.314011101,-5.028860406,0.240241294,0.72389662,0.147545503
ABL1,-0.026703963,0.886102288,0.978633394,6.283220879,-0.143238109,-5.790132456,0.026703963,0.052516142,0.009379969
ABL2,-0.099422075,0.59371361,0.914483257,5.856960857,-0.533463205,-5.670256968,0.099422075,0.226422996,0.038824242
ABLIM1,0.11680067,0.540476918,0.893430725,5.907495432,0.612093084,-5.608571893,0.11680067,0.267222848,0.048939116
ABLIM2,0.15934903,0.376257582,0.838421843,5.823889252,0.884814954,-5.472640457,0.15934903,0.42451474,0.076537416
ABLIM3,-0.299344809,0.113748134,0.633269919,5.947523315,-1.581575805,-4.650650907,0.299344809,0.944055718,0.198411141
ABO,-0.09337648,0.59565624,0.915288486,5.7840691,-0.530658269,-5.722912309,0.09337648,0.225004304,0.038442001
ABR,0.142305955,0.438532514,0.849898492,5.841833367,0.774675327,-5.539133937,0.142305955,0.357998201,0.070632941
ABRA,0.127469297,0.404500462,0.843811852,5.650389174,0.833612471,-5.656932797,0.127469297,0.393080978,0.073754379
ABRACL,0.233286617,0.222410993,0.742312816,5.945743013,1.220146214,-5.102257687,0.233286617,0.652843751,0.129413041
ABRAXAS1,-0.047968707,0.788882207,0.963639105,5.800659419,-0.267762795,-5.803016689,0.047968707,0.102987839,0.016085584
ABRAXAS2,-0.261629987,0.16756192,0.703790553,5.935790454,-1.380085672,-4.920238565,0.261629987,0.775824672,0.152556567
ABT1,0.344498777,0.068643376,0.552724164,6.084377054,1.820770326,-4.281569765,0.344498777,1.163401364,0.257491549
ABTB1,-0.073419514,0.710275045,0.944778241,6.056160504,-0.371487286,-5.684530065,0.073419514,0.148573443,0.024670118
ABTB2,0.168064978,0.382253782,0.839398662,5.934106695,0.873753225,-5.425721106,0.168064978,0.417648209,0.076031727
ACAA1,-0.345852511,0.050505527,0.516501598,6.357696886,-1.955670027,-4.091558088,0.345852511,1.296661097,0.286928331
ACAA2,0.366639142,0.026780273,0.424767032,5.705590684,2.214723178,-3.633459545,0.366639142,1.572184996,0.371849198
ACACA,-0.192754525,0.311791432,0.807561861,6.207331932,-1.011472949,-5.315868084,0.192754525,0.506135823,0.0928242
ACACB,0.234881285,0.18793333,0.710629598,5.82523949,1.316722333,-5.044822987,0.234881285,0.72599619,0.148356708
ACAD10,0.086639145,0.654039483,0.929112385,5.92883399,0.448158289,-5.675764677,0.086639145,0.184396033,0.031931751
ACAD11,0.136706029,0.444534156,0.852506872,5.813498411,0.764560681,-5.569700969,0.136706029,0.352094864,0.069302111
ACAD8,-0.181681206,0.352539405,0.829057979,6.12270314,-0.929677276,-5.366957687,0.181681206,0.452792333,0.081415097
ACAD9,-0.22883444,0.210969359,0.732840321,6.303224644,-1.250908693,-5.102313967,0.22883444,0.675780617,0.134990643
ACADL,0.190410568,0.184923943,0.708097475,5.557447399,1.325750599,-5.211581621,0.190410568,0.733006856,0.149906954
ACADM,-0.058702476,0.766464354,0.958443684,6.080717071,-0.297003256,-5.706880693,0.058702476,0.115508038,0.0184334
ACADS,-0.19017957,0.330112228,0.820972848,6.021893841,-0.973890387,-5.329608687,0.19017957,0.481338388,0.085671206
ACADSB,-0.062069704,0.747429173,0.955654169,6.202537949,-0.322031525,-5.722352723,0.062069704,0.126429955,0.019699241
ACADVL,0.121988392,0.382736912,0.839557416,6.672976014,0.872866607,-5.70662764,0.121988392,0.417099652,0.075949598
ACAN,0.063442098,0.697936653,0.94220553,5.718909932,0.388107867,-5.850426122,0.063442098,0.156183994,0.025854351
ACAP2,-0.110346245,0.569193934,0.903966195,6.176169844,-0.569240043,-5.617709279,0.110346245,0.244739737,0.04384781
ACAP3,-0.114048536,0.558052545,0.900675024,5.955814408,-0.585737637,-5.605232991,0.114048536,0.253324907,0.04543188
ACAT1,0.069917601,0.71176614,0.944778241,5.881083706,0.369485712,-5.723972689,0.069917601,0.147662676,0.024670118
ACAT2,-0.368996234,0.035882117,0.464428479,5.8280347,-2.098275935,-3.829414099,0.368996234,1.445121945,0.333081157
ACBD3,-0.024342466,0.879225359,0.977167035,6.508056529,-0.151951493,-5.928447223,0.024342466,0.055899794,0.010031192
ACBD4,0.087780997,0.602353284,0.915288486,5.745581677,0.521020248,-5.766809611,0.087780997,0.220148718,0.038442001
ACBD5,-0.137440205,0.484754078,0.871972444,6.072097765,-0.698678124,-5.530961811,0.137440205,0.314478529,0.05949724
ACBD6,-0.024738201,0.895117244,0.980936735,6.269871334,-0.131832092,-5.785642977,0.024738201,0.048120076,0.008359001
ACBD7,0.119328671,0.442076916,0.851046025,5.667797394,0.768692389,-5.69209925,0.119328671,0.354502162,0.070046952
ACCS,0.025487411,0.88305154,0.978341662,5.768338071,0.147102165,-5.856580835,0.025487411,0.054013948,0.009509452
ACCSL,-0.100390878,0.564228678,0.903260132,5.77245566,-0.57657294,-5.708997588,0.100390878,0.248544844,0.044187158
ACD,0.080033333,0.654316331,0.929112385,5.801382547,0.44777469,-5.746066999,0.080033333,0.18421224,0.031931751
ACE,0.013542786,0.937393008,0.991645651,5.763443046,0.078547027,-5.868222196,0.013542786,0.02807829,0.003643489
ACE2,-0.116731678,0.532188411,0.888661865,5.862994004,-0.624670028,-5.619844837,0.116731678,0.273934587,0.051263456
ACER1,0.190410568,0.184923943,0.708097475,5.557447399,1.325750599,-5.211581621,0.190410568,0.733006856,0.149906954
ACER2,-0.081085455,0.654197656,0.929112385,5.814163166,-0.447939117,-5.734572046,0.081085455,0.184291016,0.031931751
ACER3,0.220685596,0.175782458,0.708097475,5.708666773,1.353860711,-5.070947033,0.220685596,0.755024466,0.149906954
ACHE,0.063741373,0.693807543,0.94086337,5.710923315,0.393693835,-5.857213369,0.063741373,0.158760983,0.026473439
ACIN1,0.043732275,0.737744178,0.951958762,6.7449498,0.334842629,-6.078441169,0.043732275,0.132094209,0.021381865
ACKR1,0.357285326,0.030606493,0.444508145,5.704918295,2.162168018,-3.741283142,0.357285326,1.514186427,0.352120277
ACKR2,0.426536234,0.019272635,0.381712621,5.989899689,2.340235417,-3.318054941,0.426536234,1.715058906,0.41826348
ACKR3,0.318059046,0.061212165,0.533367844,5.762798996,1.87197109,-4.265370838,0.318059046,1.213162261,0.272973171
ACKR4,0.138199126,0.375647066,0.838421843,5.671793328,0.885947301,-5.597006467,0.138199126,0.425219999,0.076537416
ACLY,-0.063771167,0.677831199,0.935000899,6.561747949,-0.415425118,-5.898209651,0.063771167,0.168878445,0.029187972
ACMSD,0.043790747,0.766576452,0.958443684,5.634228255,0.296856429,-5.975001124,0.043790747,0.115444526,0.0184334
ACO1,-0.171781597,0.375382099,0.838421843,5.956578115,-0.8864391,-5.409382759,0.171781597,0.425526442,0.076537416
ACO2,0.089795836,0.61909434,0.915374534,5.817293293,0.497135142,-5.715249646,0.089795836,0.208243167,0.038401174
ACOD1,0.35085386,0.044729035,0.502952554,5.806740099,2.007207276,-4.005004707,0.35085386,1.349410468,0.298472982
ACOT1,-0.133447964,0.493717807,0.874672411,6.144894717,-0.684408963,-5.547457534,0.133447964,0.306521209,0.058154572
ACOT11,0.024771792,0.899062439,0.98205078,5.958594613,0.12684598,-5.750138546,0.024771792,0.046210146,0.007866055
ACOT12,-0.055726891,0.745181378,0.954840326,5.757017888,-0.325000077,-5.827419458,0.055726891,0.127738007,0.020069248
ACOT13,0.049801031,0.787211809,0.963639105,5.83845656,0.269933374,-5.775763932,0.049801031,0.103908399,0.016085584
ACOT2,-0.138663816,0.427852047,0.843811852,5.777315191,-0.792874338,-5.568781603,0.138663816,0.368706386,0.073754379
ACOT4,-0.302635581,0.081879692,0.579314146,5.794336028,-1.739891652,-4.469240555,0.302635581,1.0868238,0.237085866
ACOT6,0.027041337,0.854846081,0.972253511,5.636621353,0.182938999,-5.998820194,0.027041337,0.068112075,0.01222048
ACOT7,0.134706919,0.467627024,0.865060196,5.854027843,0.726346935,-5.563938772,0.134706919,0.3301004,0.062953671
ACOT8,-0.004121178,0.983321944,0.995749177,6.001510972,-0.020904393,-5.748684124,0.004121178,0.007304269,0.001850044
ACOT9,0.332187141,0.042207519,0.493251434,5.691349731,2.031482169,-4.002440689,0.332187141,1.374610171,0.306931644
ACOX1,-0.046495931,0.813948739,0.963639105,6.023647084,-0.235335323,-5.721998908,0.046495931,0.089402945,0.016085584
ACOX2,0.245560666,0.158702137,0.695677444,5.79360266,1.409455672,-4.947088277,0.245560666,0.799417225,0.157592078
ACOX3,-0.314198013,0.091942618,0.590989843,6.226638158,-1.685246894,-4.50711095,0.314198013,1.036483136,0.228419983
ACOXL,0.035697458,0.808655854,0.963639105,5.633419311,0.242160774,-5.989536709,0.035697458,0.092236265,0.016085584
ACP1,-0.166375071,0.348177092,0.827042313,6.363559339,-0.938133361,-5.441199733,0.166375071,0.458199806,0.082472271
ACP2,-0.15925419,0.407453497,0.843811852,5.934745136,-0.828385107,-5.461105091,0.15925419,0.389921951,0.073754379
ACP3,0.228145898,0.209245246,0.731289818,5.85833808,1.255647848,-5.102253529,0.228145898,0.6793444,0.135910474
ACP4,0.35837192,0.040805653,0.487917532,5.831201712,2.045513545,-3.93218171,0.35837192,1.389279666,0.311653577
ACP5,0.139755506,0.470414899,0.865951021,5.947538925,0.721805618,-5.529745703,0.139755506,0.327518932,0.062506671
ACP6,-0.189080538,0.259185944,0.767287348,6.450714846,-1.128320723,-5.307886995,0.189080538,0.586388554,0.115041963
ACP7,0.453746953,0.006136521,0.253309459,5.675262559,2.740427139,-2.425065984,0.453746953,2.212077752,0.596348593
ACR,-0.084663905,0.645979467,0.925775513,5.837310492,-0.459355454,-5.713677781,0.084663905,0.189781286,0.033494311
ACRBP,0.160293821,0.360717233,0.83597416,5.784845889,0.914001509,-5.471284377,0.160293821,0.442833109,0.077807146
ACRV1,0.114030779,0.508259094,0.883527471,5.768450704,0.661552157,-5.66954158,0.114030779,0.293914842,0.053779943
ACSBG1,-0.045875883,0.773778447,0.960169564,5.69885618,-0.287436486,-5.904157838,0.045875883,0.111383372,0.017652065
ACSBG2,0.043790747,0.766576452,0.958443684,5.634228255,0.296856429,-5.975001124,0.043790747,0.115444526,0.0184334
ACSF2,-0.014790858,0.908246693,0.98349343,6.763332272,-0.115250504,-6.142290922,0.014790858,0.041796175,0.007228537
ACSF3,-0.169973397,0.337070097,0.822940092,6.370016334,-0.9599729,-5.423545438,0.169973397,0.472279774,0.084631779
ACSL1,-0.442831115,0.01573655,0.362048172,6.219543838,-2.414991069,-3.152926195,0.442831115,1.803090483,0.441233641
ACSL3,-0.156333466,0.410292291,0.843811852,6.235131403,-0.82338122,-5.475406352,0.156333466,0.386906643,0.073754379
ACSL4,0.136073627,0.468758915,0.865637908,5.88153275,0.724501336,-5.554202386,0.136073627,0.32905046,0.062663733
ACSL5,0.090775394,0.638170572,0.922492566,5.928885958,0.470258949,-5.667918468,0.090775394,0.195063227,0.035037125
ACSL6,-0.010718631,0.9533274,0.992112919,5.826298375,-0.058528908,-5.81416701,0.010718631,0.020757925,0.003438895
ACSM1,-0.038760295,0.800848471,0.963639105,5.672549298,-0.252249534,-5.948349578,0.038760295,0.096449649,0.016085584
ACSM2A,-0.098189326,0.56875232,0.903966195,5.761742596,-0.569890992,-5.721967113,0.098189326,0.245076819,0.04384781
ACSM2B,0.295785118,0.121788265,0.647207303,6.008799683,1.547318052,-4.692294152,0.295785118,0.914394556,0.188956591
ACSM3,-0.014780493,0.933699499,0.990272887,5.791336026,-0.083191326,-5.840287066,0.014780493,0.029792874,0.004245111
ACSM4,0.072100912,0.62042059,0.915374534,5.618858089,0.495255176,-5.913248981,0.072100912,0.207313798,0.038401174
ACSM5,0.086876203,0.659622211,0.930236598,6.039745581,0.440435523,-5.661063424,0.086876203,0.180704729,0.031406578
ACSM6,0.096920761,0.587298844,0.911196254,5.800511604,0.542755442,-5.703764396,0.096920761,0.231140854,0.040388074
ACSS1,-0.023459091,0.881631949,0.978177337,6.5287527,-0.148900954,-5.944418962,0.023459091,0.05471268,0.009582403
ACSS2,-0.342999999,0.071474915,0.557617786,6.012042043,-1.80245847,-4.308038067,0.342999999,1.145846355,0.253663382
ACSS3,0.042495806,0.788905802,0.963639105,5.693826576,0.267732143,-5.914381712,0.042495806,0.10297485,0.016085584
ACTA1,-0.216965094,0.26585574,0.772137371,6.013761753,-1.112660404,-5.200139027,0.216965094,0.575353959,0.112305428
ACTA2,-0.497862484,0.00461537,0.227087993,5.894090012,-2.832754889,-2.165094816,0.497862484,2.335793501,0.643805827
ACTBL2,0.285626563,0.074680405,0.565385455,5.670789902,1.782432186,-4.458490768,0.285626563,1.126793337,0.247655368
ACTC1,-0.240964369,0.196574296,0.719208516,5.893614569,-1.291377819,-5.039947358,0.240964369,0.70647327,0.143145179
ACTG2,-0.212352752,0.208207339,0.730643265,5.747517784,-1.258514447,-5.158387108,0.212352752,0.681503967,0.136294615
ACTL10,0.017244822,0.924140605,0.986874116,5.813822829,0.095219474,-5.821759729,0.017244822,0.034261947,0.005738242
ACTL6A,-0.142312814,0.449104175,0.855603176,6.258444031,-0.756910941,-5.531463532,0.142312814,0.347652908,0.067727612
ACTL6B,-0.161479497,0.366411662,0.838421843,5.806535377,-0.903217453,-5.463810624,0.161479497,0.436030713,0.076537416
ACTL7A,0.164828572,0.318599896,0.81271256,5.726814987,0.997341856,-5.448730658,0.164828572,0.496754371,0.090063028
ACTL7B,0.114230586,0.429112008,0.843811852,5.597034376,0.79071383,-5.741089836,0.114230586,0.367429333,0.073754379
ACTL8,-0.040272541,0.828946429,0.96697975,5.850416654,-0.21605331,-5.778371976,0.040272541,0.081473535,0.014582621
ACTL9,-0.004214923,0.982247589,0.995749177,5.877644281,-0.022251213,-5.784766364,0.004214923,0.007779029,0.001850044
ACTN1,-0.304404601,0.064479288,0.540520492,6.477090155,-1.848862233,-4.32690218,0.304404601,1.190579769,0.267187837
ACTN2,-0.044465369,0.808348602,0.963639105,5.827981419,-0.242557335,-5.78795744,0.044465369,0.092401308,0.016085584
ACTN3,0.106097151,0.562506114,0.902579639,5.835168911,0.579124136,-5.662303784,0.106097151,0.249872753,0.044514468
ACTN4,0.035851128,0.784430542,0.963045372,6.740460736,0.27355029,-6.092932057,0.035851128,0.105445505,0.016353252
ACTR10,0.169913789,0.271482249,0.773587507,6.556599206,1.099658756,-5.406765199,0.169913789,0.566258562,0.111490553
ACTR1A,-0.020904485,0.910685662,0.984072858,5.850058024,-0.112173877,-5.79409737,0.020904485,0.040631501,0.006972746
ACTR1B,0.092503248,0.602197679,0.915288486,6.365668003,0.521243634,-5.719824969,0.092503248,0.220260922,0.038442001
ACTR2,0.035851033,0.80165801,0.963639105,6.645269654,0.251202265,-6.017864166,0.035851033,0.096010864,0.016085584
ACTR3,-0.093407604,0.510891848,0.88407544,6.651704573,-0.657450891,-5.847563045,0.093407604,0.291671027,0.053510674
ACTR3B,0.099236735,0.60434418,0.915288486,6.214411728,0.518164406,-5.653467419,0.099236735,0.218715656,0.038442001
ACTR5,-0.297318195,0.086880753,0.586013657,5.790796287,-1.71209538,-4.514563812,0.297318195,1.061076426,0.232092263
ACTR6,0.075540038,0.701655603,0.943468062,6.040092167,0.383087123,-5.682608898,0.075540038,0.153876002,0.025272797
ACTR8,0.266212123,0.113358328,0.63296927,5.74412126,1.583284495,-4.734130412,0.266212123,0.945546567,0.198617374
