logFC,AveExpr,t,P.Value,adj.P.Val,B,absLogFC,label,log10Pvalue,log10Padj,gene
-0.313673038512852,7.42518643578032,-6.53133670550329,4.69483440490338e-10,4.38427110901902e-06,12.4409195415293,0.313673038512852,MGP,9.3283797214607,5.35810259833972,MGP
0.778550897702666,6.41229818710439,6.47255306674954,3.58320128184997e-10,4.38427110901902e-06,12.4092883513951,0.778550897702666,FMOD,9.44572879519937,5.35810259833972,FMOD
-0.746474130877745,6.5283853629288,-6.3326411278852,1.15396162630742e-09,7.18418043151456e-06,11.4144326130989,0.746474130877745,MT2A,8.93780863291342,5.14362276884811,MT2A
-1.00584359325882,6.09235129052831,-6.33160078640559,1.00005546658178e-07,0.000466950898733699,7.32845431686358,1.00584359325882,CLEC3A,6.99997591183764,3.33072878438064,CLEC3A
-0.619236499904141,6.37069806047579,-5.39670712767766,1.31715307043365e-07,0.000492009357929785,7.10536473827202,0.619236499904141,MT1E,6.88036375139984,3.3080266369509,MT1E
-0.578670498228167,6.61389856664345,-5.32289225913966,1.91664245323804e-07,0.000596618851652116,6.78993757867341,0.578670498228167,TMC5,6.71745889654735,3.22430302814603,TMC5
0.75076522919118,5.97033575754756,5.28619567635769,2.30610026340698e-07,0.000615300494566459,6.37278529847449,0.75076522919118,KLK11,6.63712181460516,3.21091273583445,KLK11
-0.515609829790634,6.7186971896281,-5.26894322574855,3.55028635523443e-07,0.000828858728208919,6.29490483580164,0.515609829790634,CSRP1,6.44973661666809,3.08151948487507,CSRP1
-0.603643321162962,6.61905476100424,-5.35659880485473,4.13094813651342e-07,0.000857263537174012,6.15869350596578,0.603643321162962,S100A10,6.38395025749677,3.06688564815113,S100A10
0.68907966961511,6.46802204651033,5.10466716951552,9.67956342071033e-07,0.00180785206008607,5.24653024122116,0.68907966961511,CAPN8,6.01414423032097,2.742837111536,CAPN8
0.337237780300589,7.20344462460796,4.98215685246909,1.10163536774915e-06,0.00187047670576826,5.15189195871352,0.337237780300589,BTG2,5.95796212960323,2.72804769597649,BTG2
-0.602738137083394,6.33043936826766,-4.8750342681816,1.71018730516449e-06,0.00266176402487977,4.74115638300399,0.602738137083394,MPHOSPH6,5.76695632168703,2.57483044894969,MPHOSPH6
-1.24239160715726,6.18168078700698,-6.20923415071067,2.47743876872252e-06,0.00330508027738789,4.55826646462522,1.24239160715726,GLYATL2,5.60599707053978,2.48081798743305,GLYATL2
-0.623314034201276,6.29688997574338,-4.80854693485994,2.33622329727697e-06,0.00330508027738789,4.42033643259481,0.623314034201276,ADAM9,5.63148564951318,2.48081798743305,ADAM9
0.922181393481515,6.15760161942601,5.36189423492943,3.06620584906304e-06,0.00381783510953002,4.26111328326038,0.922181393481515,IGHA1,5.51339869223728,2.418182832508,IGHA1
0.538514915758084,6.54947658817623,4.71014290723942,3.68381899131864e-06,0.00430016795630364,4.08621532032233,0.538514915758084,KITLG,5.4337017175096,2.36651458138056,KITLG
-0.844834029472108,5.90132918417091,-5.1234951576914,6.0784724993918e-06,0.00667809593359651,3.68987571225582,0.844834029472108,DCD,5.21620554382456,2.17534734641787,DCD
-0.667375172424622,5.95075376217358,-4.53185363819575,8.24726083578725e-06,0.00855744947944436,3.22868630779665,0.667375172424622,PEX16,5.08369026980552,2.06765565612386,PEX16
-0.4101352753674,6.96770597027617,-4.50426435033035,1.05256065633371e-05,0.0103466712517604,3.15093120678349,0.4101352753674,MYH9,4.97775286750942,1.98519934967728,MYH9
0.604889651396143,6.27611078838931,4.40868861784046,1.41830474516736e-05,0.0130420053904877,2.80835741772971,0.604889651396143,GALNT6,4.84823044410013,1.88465562462706,GALNT6
-0.506079083688487,6.47673971024428,-4.38687649096788,1.55928418163921e-05,0.0130420053904877,2.79315333862502,0.506079083688487,YWHAB,4.8070747268442,1.88465562462706,YWHAB
-0.609613683541469,6.11681459883144,-4.39975775508555,1.47448507498991e-05,0.0130420053904877,2.75567741138014,0.609613683541469,MT1HL1,4.83135961909884,1.88465562462706,MT1HL1
-0.626411688623346,5.79317082090373,-4.37021690099784,1.67590153328535e-05,0.0130420053904877,2.6370706269272,0.626411688623346,CYSLTR1,4.77575150170042,1.88465562462706,CYSLTR1
0.630201426225527,5.79959990697028,4.3705175795973,1.67372465628813e-05,0.0130420053904877,2.61714342738842,0.630201426225527,PP2D1,4.77631598606211,1.88465562462706,PP2D1
-0.604856163980733,5.95297775102713,-4.33475867367532,2.04156719256503e-05,0.0152521401822148,2.4959321964539,0.604856163980733,PPP1R1A,4.69003632189822,1.8166692117853,PPP1R1A
0.629665566424062,5.83606105745603,4.28494347464416,2.41588162019513e-05,0.0173543927001479,2.30257347218986,0.629665566424062,TMEM150C,4.61692435024776,1.76059057943362,TMEM150C
-0.566340676649189,6.38597814549321,-4.25734210371855,2.71609306884515e-05,0.018117310802436,2.25527846107412,0.566340676649189,SEPTIN9,4.56605535272976,1.74190626528702,SEPTIN9
0.634876664354675,5.81641897214493,4.27123006291592,2.56083974875503e-05,0.0177143718472214,2.25168710571765,0.634876664354675,ANKRD62,4.59161759779434,1.75167424316836,ANKRD62
-0.623731327938068,5.85638203592126,-4.24079310476952,2.91284380358497e-05,0.018759718523985,2.13357198227126,0.623731327938068,RFFL,4.53568280306883,1.72677368218282,RFFL
0.577704858533714,6.32629903598353,4.19065385932156,3.595470022034e-05,0.0220535200583687,1.99852552424419,0.577704858533714,SIK1,4.44424432791455,1.65652208102995,SIK1
